mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.1878885269165039,0.008608606262101408,0.013231515884399414,0.008007706905495978,6,2,100,"{'max_depth': 6, 'min_samples_split': 2, 'n_estimators': 100}",-2902.0999748900745,-4687.430072221734,-3064.4690774397786,-3566.6179121893547,-3146.4528678115216,-3473.4139809104927,645.4550704421102,25,-1109.6237552713117,-1000.4167187076548,-1132.8778442744597,-1117.0282836053857,-1133.1948400007707,-1098.6282883719164,49.94567269319172
0.3631563663482666,0.015682297738513977,0.020522165298461913,0.0037077191962016248,6,2,200,"{'max_depth': 6, 'min_samples_split': 2, 'n_estimators': 200}",-2918.7415799842197,-4537.002826614376,-3043.4264961269278,-3539.761435657232,-3165.514964317959,-3440.889460540143,586.1205523045487,14,-1085.7840346646608,-984.3369019007331,-1100.1203980725181,-1100.6948105592103,-1133.0837948831904,-1080.8039880160627,50.66092437605324
0.09744510650634766,0.008089699206250271,0.005566263198852539,0.0009825645390309254,6,5,50,"{'max_depth': 6, 'min_samples_split': 5, 'n_estimators': 50}",-2955.2248910779995,-4750.874604357643,-3102.943446449461,-3524.6955811563225,-3115.2639343064343,-3489.8004914695716,658.3665641491828,31,-1179.018955744429,-1070.5322283500388,-1198.5192715109126,-1193.0973686873206,-1226.8550785912978,-1173.6045805767997,53.83224201808687
0.1861598014831543,0.009880981433273017,0.009077358245849609,0.005131917704985704,6,5,100,"{'max_depth': 6, 'min_samples_split': 5, 'n_estimators': 100}",-2931.6123514525057,-4677.546737139007,-3052.1747275107346,-3570.7134601383664,-3186.524217808085,-3483.7142988097394,634.3768045881624,28,-1183.1862124683068,-1066.4613895822868,-1196.6890426091222,-1188.9311385730657,-1207.963780572765,-1168.6463127611091,51.762726626845804
0.34459781646728516,0.0145513741736562,0.02081012725830078,0.0020286365843808375,6,5,200,"{'max_depth': 6, 'min_samples_split': 5, 'n_estimators': 200}",-2920.8068140774863,-4517.853853395546,-3019.291854054852,-3555.621055575221,-3191.1342945038023,-3440.9415743213817,580.2798932766905,15,-1161.1570744640228,-1045.1242729298763,-1172.395240728944,-1175.6817647422256,-1206.184045890121,-1152.108479751038,55.531823065600406
0.08340969085693359,0.003355674367270406,0.005643367767333984,0.00028110688957345064,6,10,50,"{'max_depth': 6, 'min_samples_split': 10, 'n_estimators': 50}",-2954.899946425241,-4622.412334489527,-3056.3414524854647,-3405.4290535463642,-3112.424974443319,-3430.3015522779833,614.5966352134133,10,-1464.4138781673867,-1278.0728588766851,-1443.3273983637237,-1405.3505029248565,-1444.0070052349722,-1407.0343287135247,67.24652315337447
0.17186007499694825,0.008209059802002578,0.010607194900512696,0.001153934675745103,6,10,100,"{'max_depth': 6, 'min_samples_split': 10, 'n_estimators': 100}",-2949.3060678231973,-4555.281000588159,-3000.492290125235,-3514.5573415031517,-3187.849055776174,-3441.4971511631834,591.0883116632195,16,-1438.4384764204417,-1264.7566639723848,-1444.3810372453581,-1402.682951113642,-1425.0258914533683,-1395.057004041039,66.70724143725268
0.33760247230529783,0.005660059222274794,0.021963739395141603,0.0026346076917926047,6,10,200,"{'max_depth': 6, 'min_samples_split': 10, 'n_estimators': 200}",-2930.174851089346,-4457.79667036133,-2987.467527727215,-3521.516072071559,-3206.980354629083,-3420.787095175707,558.5185278390551,7,-1422.3684637062183,-1242.887373217311,-1424.961439297499,-1399.7121743222585,-1411.624996740697,-1380.310889456797,69.28884057027547
0.09821667671203613,0.006493713860767541,0.006225299835205078,0.0012204744583026437,8,2,50,"{'max_depth': 8, 'min_samples_split': 2, 'n_estimators': 50}",-3058.5425733073007,-4761.287869229054,-3138.7006725433303,-3622.7366360243345,-3116.716207244307,-3539.5967916696654,643.490508201365,36,-709.1703917587265,-612.0230754572679,-712.2409108134407,-700.9503123835955,-725.1305162985428,-691.9030413423146,40.69033664172645
0.22718377113342286,0.026982667715410184,0.011734962463378906,0.0013311289719165527,8,2,100,"{'max_depth': 8, 'min_samples_split': 2, 'n_estimators': 100}",-2958.652275644558,-4657.2563113136475,-3114.75253642966,-3611.7113146053894,-3099.2785133767015,-3488.3301902739913,624.9946147423528,30,-695.3078836296264,-602.6857396903567,-723.2451548182323,-687.7679578327114,-707.5593461371049,-683.3132164216064,42.06409698736412
0.4125189304351807,0.008366620331828582,0.022593975067138672,0.005193582338660668,8,2,200,"{'max_depth': 8, 'min_samples_split': 2, 'n_estimators': 200}",-2947.105315444693,-4511.594918787484,-3086.0976686721333,-3610.4101756135374,-3117.1265726903243,-3454.4669302416346,574.2382985861498,20,-671.3001024639409,-585.5580519844626,-699.5159270051277,-670.6783148186624,-709.8747141477771,-667.3854220839942,43.72549747919013
0.10258016586303711,0.003559746341477092,0.006906747817993164,0.0019624065908952046,8,5,50,"{'max_depth': 8, 'min_samples_split': 5, 'n_estimators': 50}",-3014.9156821691618,-4738.2620320630695,-3194.9340851956026,-3545.2779636346313,-3081.3753230878956,-3514.953017230072,638.4110929987141,33,-857.0525179094291,-740.2068788071847,-850.9404461479998,-814.7290997561548,-830.7374207451106,-818.7332726731759,42.02902350517468
